Epochs,Optimizer,Activation_Function,Train_Loss,Train_Accuracy,Train_Precision,Train_Recall,Val_Loss,Val_Accuracy,Val_Precision,Val_Recall
2,RMSprop,softsign,0.27246150374412537,0.9168254137039185,0.24347573518753052,0.9973809719085693,0.04212750867009163,0.9868518710136414,0.2838072180747986,1.0
4,RMSprop,softsign,0.08745039999485016,0.976190447807312,0.26437288522720337,0.9988889098167419,0.3063093423843384,0.9111111164093018,0.30249887704849243,0.9998148083686829
2,RMSprop,relu,0.319977343082428,0.9010317325592041,0.23689968883991241,0.9967460036277771,0.24649520218372345,0.9142592549324036,0.2618712782859802,0.9998148083686829
8,RMSprop,softmax,0.1128525510430336,0.9670634865760803,0.24106118083000183,0.9995238184928894,0.01805063709616661,0.9935185313224792,0.3168456256389618,1.0
3,RMSprop,softmax,2.1892263889312744,0.17563492059707642,0.1134389117360115,0.5969047546386719,1.4822362661361694,0.4601851999759674,0.18606723845005035,0.9664815068244934
5,RMSprop,softsign,0.07183431088924408,0.9799206256866455,0.2683269679546356,0.9996031522750854,0.35435566306114197,0.92166668176651,0.2916891872882843,0.9996296167373657
4,RMSprop,softmax,0.7907708883285522,0.7326984405517578,0.2086905539035797,0.989126980304718,0.5268020033836365,0.7988888621330261,0.26398199796676636,0.9990741014480591
7,RMSprop,selu,0.05926544591784477,0.9850000143051147,0.2765125632286072,0.9992856979370117,0.01428301353007555,0.9964814782142639,0.3570294976234436,0.9998148083686829
10,RMSprop,relu,0.04451290890574455,0.9895238280296326,0.29600903391838074,0.9995238184928894,0.003277228679507971,0.9992592334747314,0.42441633343696594,0.9998148083686829
3,RMSprop,sigmoid,0.35219311714172363,0.8892063498497009,0.23804016411304474,0.9963492155075073,7.401044845581055,0.16018518805503845,0.13037998974323273,0.4981481432914734
7,RMSprop,softmax,0.15109722316265106,0.957460343837738,0.23517543077468872,0.9990476369857788,0.25183379650115967,0.9166666865348816,0.28758588433265686,1.0
1,RMSprop,tanh,1.238858938217163,0.5839682817459106,0.19676069915294647,0.9034126996994019,0.7762173414230347,0.7405555844306946,0.27730271220207214,0.9968518614768982
4,RMSprop,selu,0.081013984978199,0.9789682626724243,0.2599727511405945,0.9992856979370117,0.06643546372652054,0.9781481623649597,0.317868709564209,0.9998148083686829
6,RMSprop,softsign,0.05492468178272247,0.9852380752563477,0.27244600653648376,0.9994444251060486,0.002744035329669714,0.9994444251060486,0.3360716998577118,1.0
9,RMSprop,relu,0.04823731631040573,0.9883333444595337,0.2896304428577423,0.9995238184928894,0.00883973017334938,0.9985185265541077,0.44666942954063416,0.9996296167373657
